23 Mere|23_Mere_system|NULL|1709.45|-4987.73|M13|NULL|Colonies|4|1
A-Foroon|A-Foroon_system|NULL|9900.25|-9732.69|R16|Arkanis_sector|Outer_Rim_Territories|4|1
AX|AX_system|Not in SWGalaxyMap|NULL|NULL|M9|Barma_sector|Colonies|0|1
Aaeton|Aaeton_system|NULL|-810.07|215.58|K9|NULL|Core_Worlds|3|1
Aar|Aar_system|NULL|4189.86|7301.54|N5|Nijune_sector|Outer_Rim_Territories|4|1
Aargonar|Aargonar_system|NULL|8605.33|3766.02|Q7|Perkell_sector|Mid_Rim|3|1
Aaris|Aaris_system|These coords are probably wrong. Check sources!|2583.83|-16641.1|M21|Kathol_sector|Outer_Rim_Territories|3|1
Aaron|Aaron_system|Not in SWGalaxyMap|NULL|NULL|S8|Tharin_sector|Outer_Rim_Territories|0|1
Ab'Bshingh|Ab'Bshingh_system|NULL|5893.77|-14187.1|O19|Sujimis_sector|Outer_Rim_Territories|3|1
Abaarian|Abaarian_system|Not in SWGalaxyMap|-1411.1|3119.85|K7|Abaar_sector|Mid_Rim|0|1
Abafar|Abafar_system|NULL|4275.84|6594.25|N5|Sprizen_sector|Outer_Rim_Territories|3|1
Abar|Abar_system|Not in SWGalaxyMap|NULL|NULL|N5|Tragan_Cluster|Outer_Rim_Territories|0|1
Abbaji|Abbaji_system|NULL|-4737.54|-10243.5|H16|Spar_sector|Outer_Rim_Territories|3|1
Abhean|Abhean_system|NULL|9298.63|3577.8|R7|Maldrood_sector|Mid_Rim|2|1
Abo Dreth|Abo_Dreth_system|NULL|11096.9|9332.18|S3|Corporate_Sector|Outer_Rim_Territories|5|1
Abonshee|Abonshee_system|NULL|-1188.71|1319.22|K9|Fakir_sector|Colonies|4|1
Abran|Abran_system|NULL|-6316.71|-10452.9|G16|NULL|Wild_Space|3|1
Abraxas|Abraxas_system|SWGalaxyMap puts the planet Radix, which is in this system, at (-1094.055,-10889.295).|-695.61|-11251.7|K17|Yushan_sector|Mid_Rim|3|1
Abraxin|Abraxin_system|SWGalaxyMap puts this system at (11237.73, 5939.19). My coords are based on The Essential Atlas and are more likely to be correct.|11397|5944.62|S6|Tion_Hegemony|Outer_Rim_Territories|4|1
Abregado|Abregado_system|NULL|-66.51|-4750.82|K13|NULL|Core_Worlds|3|1
Abridon|Abridon_system|NULL|-2000.78|-13317.2|J18|Koradin_sector|Outer_Rim_Territories|3|1
Abrihom|Abrihom_system|Not in SWGalaxyMap|NULL|NULL|J19|Rayter_sector|Outer_Rim_Territories|0|1
Abrion Major|Abrion_Major_system|NULL|10691.1|-8287.31|S15|Abrion_sector|Outer_Rim_Territories|3|1
Abron|Abron_system|NULL|5416.89|2750.36|O8|Farstey_sector|Expansion_Region|3|1
Absanz|Absanz_system|This system does not exist on Wookieepedia, but the planet Absanz does.|11123.4|-8637.27|S15|Abrion_sector|Outer_Rim_Territories|4|0
